order,date,author,title,published,pages,favorite,
485.,Apr. 1989,Howard Hibbard,Bernini,1965,229 pp.,,
486.,Apr 1989,Yasuji Kirimura,Fundamentals of Buddhism,1977,210 pp.,,
487.,Apr 1989,Scott Buchanan,Poetry and Mathematics,1929,156 pp.,,
488.,May 1989,Gore Vidal,Lincoln,1984,657 pp.,,
489.,May 1989,Gabriel Garcia Marquez,Love in the Time of Cholera,1988,348 pp.,,
490.,May 1989,,The Bible - designed to be read as Literature vol. 1,,520 pp.,,
491.,Jul 1989,Brenda Maddox,Nora - The Real Life of Molly Bloom ,1988,381 pp.,true,
492.,Jul 1989,John Milton,Paradise Lost,1667,339 pp.,,
493.,Aug 1989,Sanche de Gramont,Epitaph for Kings ,1969,428 pp.,true,
494.,Aug 1989,Stephen W. Hawking,A Brief History of Time,1988,182 pp.,,
495.,Aug 1989,Wallace Stevens,The Necessary Angel,1942-51,176 pp.,,
496.,Sep 1989,edited by W.H. Auden,The Portable Greek Reader,b.c.,726 pp.,,
497.,Sep 1989,Honoré de Balzac,The Wild Ass's Skin,1831,285 pp.,,
498.,Sep 1989,Quentin Crisp,Manners from Heaven,1984,138 pp.,,
499.,Oct 1989,Sigmund Freud,Civilization and Its Discontents ,1930,104 pp.,true,
500.,Oct 1989,Michael Harrington,The Other America,1962+,221 pp.,,
501.,Oct 1989,Art Garfunkel,Still Water - Prose Poems,1989,119 pp.,,
502.,Oct 1989,Umberto Eco,Art and Beauty in the Middle Ages,1959,119 pp.,,
503.,Oct 1989,Anton Chekhov,The Fiancée and other stories,1890s,232 pp.,,
504.,Dec 1989,Theodore Dreiser,An American Tragedy,1925,828 pp.,,
505.,Dec 1989,Santoru Izumi,Guidelines to Faith,1980,160 pp.,,
506.,Dec 1989,Robert Louis Stevenson,Travels with a Donkey,1879,126 pp.,,
507.,Dec 1989,James D. Watson,The Double Helix,1968,231 pp.,,
508.,Dec 1989,"Noam Chomsky, Edward S. Herman",Manufacturing Consent,1988,291 pp.,,
509.,Jan 1990,Anthony Trollope,An Autobiography,1883,367 pp.,,
510.,Jan 1990,Joseph Campbell (with Bill Moyers),The Power of Myth,1988,231 pp.,,
511.,Feb 1990,Henry Miller,Quiet Days in Clichy,1940,154 pp.,,
512.,Feb 1990,Colin McEvedy,The Penguin Atlas of Modern History (to 1815),1972,90 pp.,,
513.,Feb 1990,J.P. Kenyon,Stuart England,1978,355 pp.,,
514.,Feb 1990,Michel Foucault,The History of Sexuality vol. 1: An Introduction,1976,159 pp.,,
515.,Feb 1990,Virginia Woolf,Contemporary Writers,1905-20,160 pp.,,
516.,Feb 1990,William Shakespeare,Henry V,1599,123 pp.,,
517.,Mar 1990,Honoré de Balzac,Lost Illusions,1835-43,682 pp.,,
518.,Mar 1990,Ian Frazier,Great Plains,1989,214 pp.,,
519.,Apr 1990,,Tales from the Thousand and One Nights,c.850b.c.,407 pp.,,
520.,Jul 1981,Anne Rice,Interview With the Vampire,1976,346 pp.,,
521.,May 1990,Charles R. Morris,The Cost of Good Intentions,1980,240 pp.,,
522.,Jun 1990,various,The Portable Renaissance Reader,"1400s, 1500s",754 pp.,,
523.,Jun 1990,Jerrold Seigel,Bohemian Paris,1986,397 pp.,,
524.,Jun 1990,"Paul Magriel, John T. Spike",A Connoisseur's Guide to the Met,1987,235 pp.,,
525.,Jul 1990,Mark Twain,The Innocents Abroad ,1867,492 pp.,true,
526.,Jul 1990,Sylvia Plath,The Bell Jar ,1963,216 pp.,true,
527.,Jul 1990,George F. Will,Men at Work,1990,330 pp.,,
528.,Jul 1990,Edith Hamilton,Mythology,1940,321 pp.,,
529.,Jul 1990,Ernest Hemingway,A Moveable Feast,1960,211 pp.,,
530.,Jul 1990,Edith Wharton,Ethan Frome,1911,133 pp.,,
531.,Aug 1990,J.F. Stone,The Trial of Socrates,1988,230 pp.,,
532.,Aug 1990,"Daniel Bates, Amal Rassam",Peoples and Cultures of the Middle East,1983,283 pp.,,
533.,Aug 1990,Aristophanes,"The Knights, ""Peace,"" ""The Birds,"" ""Wealth""",424-388b.c.,285 pp.,,
534.,Sep 1990,Tacitus,The Histories,98a.d.,287 pp.,,
535.,Sep 1990,Carrie Fisher,Surrender the Pink,1990,281 pp.,,
536.,Sep 1990,John McPhee,Rising from the Plains,1986,214 pp.,,
537.,Sep 1990,George Eliot,The Lifted Veil,1879,91 pp.,,
538.,Nov 1990,Thomas Mann,The Magic Mountain ,1927,716 pp.,true,
539.,Nov 1990,Fredric Dannen,Hit Men ,1990,327 pp.,true,
540.,Nov 1990,,The Koran,610a.d.,435 pp.,,
541.,Jan 1991,Roderic Gorney,The Human Agenda,1968,575 pp.,,
542.,Feb 1991,William Thackeray,The History of Henry Esmond,1852,513 pp.,,
543.,Feb 1991,Rachel Carlson,Silent Spring,1962,297 pp.,,
544.,Feb 1991,Charles Grodin,It Would Be So Nice If You Weren't Here,1989,308 pp.,,
545.,Feb 1991,Will and Ariel Durant,The Story of Civilization VIII: The Age of Louis XIV ,1963,74 pp.,true,
546.,Mar 1991,Margaret Mead,Coming of Age in Samoa,1928,197 pp.,,
547.,Mar 1991,Thomas L. Friedman,From Beirut to Jerusalem ,1989,525 pp.,true,
548.,Apr 1991,Daphne du Maurier,Jamaica Inn,1936,247 pp.,,
549.,Apr 1991,Daisaku Ikeda,The Creative Family,1977,159 pp.,,
